Time (s),Potential 1 (V),Potential 2 (V)
48,0.529914529915,-0.021978021978
48.1,0.525030525031,-0.031746031746
48.2,0.529914529915,-0.021978021978
48.3,0.534798534799,-0.021978021978
48.4,0.529914529915,-0.026862026862
48.5,0.525030525031,-0.026862026862
48.6,0.529914529915,-0.026862026862
48.7,0.529914529915,-0.026862026862
48.8,0.529914529915,-0.026862026862
48.9,0.525030525031,-0.021978021978
49,0.534798534799,-0.021978021978
49.1,0.529914529915,-0.021978021978
49.2,0.529914529915,-0.021978021978
49.3,0.529914529915,-0.026862026862
49.4,0.525030525031,-0.021978021978
49.5,0.534798534799,-0.021978021978
49.6,0.529914529915,-0.017094017094
49.7,0.529914529915,-0.026862026862
49.8,0.529914529915,-0.026862026862
49.9,0.529914529915,-0.021978021978
50,0.529914529915,-0.026862026862
50.1,0.534798534799,-0.021978021978
50.2,0.554334554335,-0.026862026862
50.3,0.568986568987,-0.021978021978
50.4,0.568986568987,-0.021978021978
50.5,0.564102564103,-0.026862026862
50.6,0.568986568987,-0.017094017094
50.7,0.564102564103,-0.021978021978
50.8,0.583638583639,-0.021978021978
50.9,0.593406593407,-0.021978021978
51,0.608058608059,-0.021978021978
51.1,0.598290598291,-0.026862026862
51.2,0.603174603175,-0.026862026862
51.3,0.608058608059,-0.021978021978
51.4,0.598290598291,-0.026862026862
51.5,0.603174603175,-0.026862026862
51.6,0.603174603175,-0.021978021978
51.7,0.598290598291,-0.021978021978
51.8,0.603174603175,-0.021978021978
51.9,0.603174603175,-0.026862026862
52,0.608058608059,-0.021978021978
52.1,0.603174603175,-0.017094017094
52.2,0.603174603175,-0.026862026862
52.3,0.603174603175,-0.021978021978
52.4,0.603174603175,-0.021978021978
52.5,0.608058608059,-0.021978021978
52.6,0.598290598291,-0.026862026862
52.7,0.608058608059,-0.017094017094
52.8,0.603174603175,-0.021978021978
52.9,0.598290598291,-0.026862026862
53,0.608058608059,-0.021978021978
53.1,0.603174603175,-0.021978021978
53.2,0.603174603175,-0.026862026862
53.3,0.603174603175,-0.026862026862
53.4,0.608058608059,-0.017094017094
53.5,0.608058608059,-0.026862026862
53.6,0.603174603175,-0.021978021978
53.7,0.603174603175,-0.021978021978
53.8,0.603174603175,-0.021978021978
53.9,0.603174603175,-0.021978021978
54,0.603174603175,-0.021978021978
54.1,0.603174603175,-0.021978021978
54.2,0.627594627595,-0.026862026862
54.3,0.627594627595,-0.021978021978
54.4,0.627594627595,-0.026862026862
54.5,0.637362637363,-0.026862026862
54.6,0.647130647131,-0.021978021978
54.7,0.647130647131,-0.026862026862
54.8,0.647130647131,-0.026862026862
54.9,0.647130647131,-0.017094017094
55,0.637362637363,-0.026862026862
55.1,0.647130647131,-0.021978021978
55.2,0.642246642247,-0.017094017094
55.3,0.647130647131,-0.026862026862
55.4,0.647130647131,-0.021978021978
55.5,0.642246642247,-0.021978021978
55.6,0.637362637363,-0.026862026862
55.7,0.642246642247,-0.021978021978
55.8,0.647130647131,-0.021978021978
55.9,0.642246642247,-0.026862026862
56,0.642246642247,-0.021978021978
56.1,0.642246642247,-0.021978021978
56.2,0.642246642247,-0.026862026862
56.3,0.642246642247,-0.021978021978
56.4,0.647130647131,-0.021978021978
56.5,0.642246642247,-0.026862026862
56.6,0.642246642247,-0.021978021978
56.7,0.642246642247,-0.021978021978
56.8,0.642246642247,-0.026862026862
56.9,0.647130647131,-0.017094017094
57,0.642246642247,-0.021978021978
57.1,0.647130647131,-0.026862026862
57.2,0.637362637363,-0.026862026862
57.3,0.642246642247,-0.021978021978
57.4,0.642246642247,-0.026862026862
57.5,0.647130647131,-0.021978021978
57.6,0.642246642247,-0.026862026862
57.7,0.642246642247,-0.026862026862
57.8,0.647130647131,-0.021978021978
57.9,0.642246642247,-0.017094017094
58,0.637362637363,-0.026862026862
58.1,0.652014652015,-0.017094017094
58.2,0.642246642247,-0.026862026862
58.3,0.647130647131,-0.026862026862
58.4,0.637362637363,-0.021978021978
58.5,0.647130647131,-0.021978021978
58.6,0.637362637363,-0.026862026862
58.7,0.647130647131,-0.021978021978
58.8,0.637362637363,-0.021978021978
58.9,0.642246642247,-0.026862026862
59,0.647130647131,-0.021978021978
59.1,0.647130647131,-0.026862026862
59.2,0.637362637363,-0.026862026862
59.3,0.642246642247,-0.026862026862
59.4,0.642246642247,-0.021978021978
59.5,0.642246642247,-0.026862026862
59.6,0.647130647131,-0.021978021978
59.7,0.647130647131,-0.017094017094
59.8,0.647130647131,-0.031746031746
59.9,0.647130647131,-0.017094017094
60,0.637362637363,-0.021978021978
60.1,0.642246642247,-0.026862026862
60.2,0.647130647131,-0.017094017094
60.3,0.642246642247,-0.021978021978
60.4,0.647130647131,-0.026862026862
60.5,0.647130647131,-0.017094017094
60.6,0.647130647131,-0.026862026862
60.7,0.647130647131,-0.026862026862
60.8,0.647130647131,-0.026862026862
60.9,0.647130647131,-0.021978021978
61,0.642246642247,-0.026862026862
61.1,0.656898656899,-0.017094017094
61.2,0.656898656899,-0.021978021978
61.3,0.666666666667,-0.021978021978
61.4,0.725274725275,-0.021978021978
61.5,0.725274725275,-0.021978021978
61.6,0.725274725275,-0.026862026862
61.7,0.725274725275,-0.017094017094
61.8,0.725274725275,-0.026862026862
61.9,0.725274725275,-0.026862026862
62,0.730158730159,-0.017094017094
62.1,0.720390720391,-0.021978021978
62.2,0.725274725275,-0.021978021978
62.3,0.730158730159,-0.021978021978
62.4,0.730158730159,-0.026862026862
62.5,0.725274725275,-0.017094017094
62.6,0.725274725275,-0.021978021978
62.7,0.725274725275,-0.017094017094
62.8,0.725274725275,-0.026862026862
62.9,0.725274725275,-0.021978021978
63,0.725274725275,-0.026862026862
63.1,0.725274725275,-0.026862026862
63.2,0.730158730159,-0.021978021978
63.3,0.730158730159,-0.021978021978
63.4,0.725274725275,-0.031746031746
63.5,0.725274725275,-0.026862026862
63.6,0.725274725275,-0.026862026862
63.7,0.720390720391,-0.021978021978
63.8,0.730158730159,-0.021978021978
63.9,0.725274725275,-0.021978021978
64,0.725274725275,-0.026862026862
64.1,0.725274725275,-0.021978021978
64.2,0.730158730159,-0.021978021978
64.3,0.720390720391,-0.026862026862
64.4,0.725274725275,-0.021978021978
64.5,0.735042735043,-0.021978021978
64.6,0.725274725275,-0.026862026862
64.7,0.725274725275,-0.026862026862
64.8,0.725274725275,-0.026862026862
64.9,0.725274725275,-0.031746031746
65,0.730158730159,-0.021978021978
65.1,0.725274725275,-0.021978021978
65.2,0.725274725275,-0.021978021978
65.3,0.730158730159,-0.026862026862
65.4,0.730158730159,-0.017094017094
65.5,0.725274725275,-0.021978021978
65.6,0.730158730159,-0.021978021978
65.7,0.730158730159,-0.021978021978
65.8,0.730158730159,-0.021978021978
65.9,0.730158730159,-0.021978021978
66,0.725274725275,-0.026862026862
66.1,0.730158730159,-0.026862026862
66.2,0.725274725275,-0.021978021978
66.3,0.735042735043,-0.021978021978
66.4,0.749694749695,-0.026862026862
66.5,0.778998778999,-0.026862026862
66.6,0.798534798535,-0.021978021978
66.7,0.808302808303,-0.026862026862
66.8,0.803418803419,-0.021978021978
66.9,0.808302808303,-0.021978021978
67,0.803418803419,-0.017094017094
67.1,0.808302808303,-0.017094017094
67.2,0.808302808303,-0.021978021978
67.3,0.803418803419,-0.026862026862
67.4,0.813186813187,-0.021978021978
67.5,0.803418803419,-0.021978021978
67.6,0.808302808303,-0.021978021978
67.7,0.808302808303,-0.026862026862
67.8,0.808302808303,-0.017094017094
